Category,Rating,Rating Count,Installs,Free,Price,Minimum Android,Content Rating,Ad Supported,In App Purchases,Editors Choice,Name Length,Size in MB,App Age,Last Update Age
Business,5.0,8.0,22.0,True,0.0,5,Everyone,False,False,False,12.0,29.0,49.0,49.0
Finance,4.3,6.0,39.0,True,0.0,4,Everyone,False,False,False,10.0,8.9,1072.0,540.0
Personalization,4.4,155.0,3747.0,True,0.0,4,Mature 17+,True,False,False,48.0,4.2,1103.0,751.0
Books & Reference,4.6,17.0,6543.0,True,0.0,4,Everyone,True,False,False,24.0,4.6,581.0,536.0
Tools,4.0,20.0,16610.0,True,0.0,4,Everyone,True,False,False,43.0,7.6,455.0,119.0
Social,3.0,40.0,6051.0,True,0.0,4,Everyone,True,False,False,27.0,4.2,1610.0,1610.0
Beauty,3.7,28.0,14679.0,True,0.0,2,Everyone,True,False,False,24.0,5.3,1586.0,1586.0
Puzzle,3.5,166.0,75104.0,True,0.0,4,Everyone,True,False,False,47.0,48.0,186.0,186.0
Casual,2.2,9.0,1777.0,True,0.0,4,Everyone,True,False,False,33.0,40.0,226.0,226.0
Education,4.0,7.0,282.0,False,1.99,4,Everyone,False,False,False,41.0,8.6,606.0,605.0
Art & Design,3.8,89.0,13411.0,True,0.0,4,Everyone,True,False,False,26.0,16.0,985.0,985.0
Education,3.5,8.0,2972.0,True,0.0,4,Everyone,False,False,False,11.0,9.0,419.0,25.0
Sports,4.2,3201.0,265900.0,True,0.0,4,Everyone 10+,True,True,False,48.0,84.0,1748.0,243.0
Maps & Navigation,4.1,16.0,5746.0,True,0.0,4,Everyone,False,False,False,10.0,9.2,2125.0,1715.0
Music & Audio,1.3,12.0,1333.0,True,0.0,4,Teen,False,False,False,34.0,7.3,1164.0,1176.0
Finance,3.7,7.0,1643.0,True,0.0,4,Everyone,False,False,False,10.0,1.2,1812.0,1812.0
Education,5.0,1490.0,31481.0,True,0.0,4,Everyone,False,False,False,15.0,4.8,2013.0,552.0
Shopping,4.4,14.0,902.0,True,0.0,5,Everyone,False,False,False,36.0,11.0,363.0,26.0
Video Players & Editors,3.8,113.0,21729.0,True,0.0,4,Everyone,False,False,False,10.0,64.0,504.0,503.0
Finance,4.7,11.0,2147.0,True,0.0,6,Everyone,False,False,False,43.0,6.5,386.0,82.0
Maps & Navigation,4.8,16.0,962.0,True,0.0,4,Everyone,True,False,False,20.0,14.0,1162.0,271.0
Board,4.0,10.0,1236.0,True,0.0,4,Everyone,False,False,False,16.0,5.4,850.0,266.0
Business,4.4,7.0,673.0,True,0.0,2,Everyone,False,False,False,9.0,0.2724609375,2106.0,2099.0
Education,3.3,108.0,18607.0,True,0.0,4,Everyone,False,False,False,41.0,15.0,588.0,28.0
Communication,1.4,9.0,1179.0,True,0.0,4,Everyone,False,False,False,19.0,8.4,371.0,398.0
Entertainment,3.5,554.0,182854.0,True,0.0,4,Teen,False,False,False,14.0,13.0,4.0,47.0
Action,4.9,40.0,161.0,True,0.0,4,Everyone,True,False,False,11.0,14.0,531.0,530.0
Education,5.0,5.0,667.0,True,0.0,2,Everyone,False,False,False,49.0,3.8,650.0,635.0
Medical,4.6,8.0,2009.0,True,0.0,4,Everyone,False,False,False,13.0,65.0,1271.0,341.0
Business,4.5,6.0,774.0,True,0.0,4,Everyone,False,False,False,23.0,9.1,3024.0,294.0
Personalization,4.4,90.0,19937.0,True,0.0,4,Teen,True,False,False,14.0,20.0,693.0,692.0
